feature,importance,fold
core_P7_mean,15953.69530826807,11
core_P7_std,13321.781989872456,11
core_P8_mean,18619.454501271248,11
core_P8_std,11238.573929429054,11
core_P9_mean,16645.292340755463,11
core_P9_std,12080.574319958687,11
LPFR_P1_mean,44416.18759059906,11
LPFR_P1_std,20951.607063412666,11
LPFR_P2_mean,55790.42765057087,11
LPFR_P2_std,16426.564006745815,11
LPFR_P3_mean,63912.770051300526,11
LPFR_P3_std,19078.583065629005,11
RPFR_P1_mean,49414.69901025295,11
RPFR_P1_std,13081.378161251545,11
RPFR_P2_mean,50044.66828209162,11
RPFR_P2_std,18566.136188447475,11
RPFR_P3_mean,57041.14965701103,11
RPFR_P3_std,23926.1125818491,11
cluster_mean,826110.8056153059,11
cluster_std,73666.11901408434,11
peptide_nunique,66539.19748401642,11
unique_rate,118833.58125180006,11
p1,15606.844709396362,11
p2,16340.05613398552,11
p3,24330.657101154327,11
p4,22154.481568455696,11
p5,17285.727026820183,11
p6,16900.170644938946,11
p7,16235.041724205017,11
p8,14621.22225368023,11
p9,14355.116890788078,11
blosum_sum,61828.10953724384,11
hla,391009.14823675156,11
allele_type,101.77488994598389,11
length,194171.20304572582,11
n_label,27136.046837061644,11
len_LPFR,91.5411542057991,11
len_RPFR,9349.106832027435,11
len_peptide_transform,3970.169242441654,11
core_P1,14161.954340964556,11
core_P2,12971.387936800718,11
core_P3,12997.694268107414,11
core_P4,13225.817289113998,11
core_P5,11886.792549788952,11
core_P6,13029.751083731651,11
core_P7,12165.479008376598,11
core_P8,12247.57792109251,11
core_P9,13130.76817369461,11
LPFR_P1,19736.482911080122,11
LPFR_P2,21663.26932990551,11
LPFR_P3,20899.35511481762,11
RPFR_P1,21337.956466019154,11
RPFR_P2,20881.696564108133,11
RPFR_P3,29155.56991147995,11
core_atfidf,175666.59438097477,11
core_ctfidf,20492.642875134945,11
core_dtfidf,141428.94879359007,11
core_etfidf,81098.80959069729,11
core_ftfidf,87815.90012711287,11
core_gtfidf,94178.73017665744,11
core_htfidf,32929.27697482705,11
core_itfidf,77176.3748126924,11
core_ktfidf,92744.23009473085,11
core_ltfidf,182980.28789788485,11
core_mtfidf,46112.25960558653,11
core_ntfidf,62520.729120105505,11
core_ptfidf,64938.39789265394,11
core_qtfidf,39502.67744329572,11
core_rtfidf,74927.48188096285,11
core_stfidf,59815.34084260464,11
core_ttfidf,66963.95369002223,11
core_vtfidf,61453.35105866194,11
core_wtfidf,41723.7400727272,11
core_ytfidf,45880.21455335617,11
core_a_count,4671.078236103058,11
core_c_count,3.0191800594329834,11
core_d_count,454.7229890823364,11
core_e_count,5947.497470855713,11
core_f_count,467.52290534973145,11
core_g_count,4973.708083152771,11
core_h_count,123.7891092300415,11
core_i_count,1259.3436665534973,11
core_k_count,2010.605476796627,11
core_l_count,1639.2088508605957,11
core_m_count,318.9687900543213,11
core_n_count,229.203959941864,11
core_p_count,3489.3061139583588,11
core_q_count,522.6692047119141,11
core_r_count,1130.489007115364,11
core_s_count,421.19810032844543,11
core_t_count,395.6395457983017,11
core_v_count,696.4557123184204,11
core_w_count,5.215879917144775,11
core_y_count,88.47375917434692,11
cluster,43322.99662077427,11
hla_mean,871424.6805703342,11
hla_std,307582.4488046169,11
allele_type_mean,46503.57616019249,11
allele_type_std,34045.16930413246,11
core_P1_mean,34069.03067275882,11
core_P1_std,12327.662420988083,11
core_P2_mean,30189.980264544487,11
core_P2_std,12489.246956139803,11
core_P3_mean,31652.4515760839,11
core_P3_std,9855.976457178593,11
core_P4_mean,30638.683162003756,11
core_P4_std,11724.494547605515,11
core_P5_mean,24356.080168396235,11
core_P5_std,11015.816309332848,11
core_P6_mean,19952.2403909266,11
core_P6_std,13603.34602123499,11
core_P7_mean,17051.692904233932,11
core_P7_std,16458.854344189167,11
core_P8_mean,17900.51013046503,11
core_P8_std,12762.836826324463,11
core_P9_mean,18769.282479047775,11
core_P9_std,14495.409207701683,11
LPFR_P1_mean,47392.63914138079,11
LPFR_P1_std,20017.953167378902,11
LPFR_P2_mean,58185.2776453197,11
LPFR_P2_std,14708.524404674768,11
LPFR_P3_mean,67038.41654595733,11
LPFR_P3_std,18352.522197574377,11
RPFR_P1_mean,52785.46754851937,11
RPFR_P1_std,16705.74303817749,11
RPFR_P2_mean,60999.028444767,11
RPFR_P2_std,21445.56288906932,11
RPFR_P3_mean,61413.52791315317,11
RPFR_P3_std,24611.067842006683,11
cluster_mean,706010.3248007,11
cluster_std,83022.25858521461,11
peptide_nunique,82217.61555036902,11
unique_rate,134452.19247305393,11
p1,18818.1686321795,11
p2,19321.604498952627,11
p3,25031.542361080647,11
p4,21638.932662844658,11
p5,18381.14562034607,11
p6,17615.463714897633,11
p7,18745.632961153984,11
p8,17524.769289672375,11
p9,17805.988264024258,11
blosum_sum,67346.81371736526,11
hla,405416.2504991591,11
allele_type,163.69713139533997,11
length,201673.2319395542,11
n_label,24794.171696722507,11
len_LPFR,67.53727695345879,11
len_RPFR,10053.22604751587,11
len_peptide_transform,4818.739124327898,11
core_P1,16579.50199636817,11
core_P2,14857.694019287825,11
core_P3,14537.782686889172,11
core_P4,14536.391205817461,11
core_P5,14391.039881765842,11
core_P6,16094.860996603966,11
core_P7,13053.361983895302,11
core_P8,11669.517257601023,11
core_P9,15744.117112278938,11
LPFR_P1,19674.61164832115,11
LPFR_P2,21958.68681484461,11
LPFR_P3,21618.042788892984,11
RPFR_P1,23744.496801435947,11
RPFR_P2,25943.2927788198,11
RPFR_P3,28296.924059212208,11
core_atfidf,181595.1900163889,11
core_ctfidf,21452.79350578785,11
core_dtfidf,150691.8140577972,11
core_etfidf,85712.90916752815,11
core_ftfidf,93184.92276832461,11
core_gtfidf,109203.24536523223,11
core_htfidf,30125.01620835066,11
core_itfidf,67803.60832038522,11
core_ktfidf,90864.56731960177,11
core_ltfidf,187872.90978732705,11
core_mtfidf,48229.28022843599,11
core_ntfidf,62869.812519699335,11
core_ptfidf,61698.34368249774,11
core_qtfidf,46584.85850864649,11
core_rtfidf,77257.72829642892,11
core_stfidf,59620.86035215855,11
core_ttfidf,69701.97140052915,11
core_vtfidf,67706.74555256963,11
core_wtfidf,39784.14787700772,11
core_ytfidf,48858.97989213467,11
core_a_count,4277.427272796631,11
core_c_count,0.0,11
core_d_count,727.3644789159298,11
core_e_count,6857.790546655655,11
core_f_count,760.539876461029,11
core_g_count,4023.541110932827,11
core_h_count,76.339430809021,11
core_i_count,2861.7664719820023,11
core_k_count,2110.7496938705444,11
core_l_count,1959.2063775658607,11
core_m_count,292.6901812553406,11
core_n_count,134.77253007888794,11
core_p_count,6656.679395586252,11
core_q_count,757.0330213308334,11
core_r_count,765.4016819596291,11
core_s_count,364.31701374053955,11
core_t_count,637.5607042312622,11
core_v_count,988.6003262996674,11
core_w_count,21.8435001373291,11
core_y_count,61.33059734106064,11
cluster,46973.878520190716,11
hla_mean,840300.4577070475,11
hla_std,310259.3926550448,11
allele_type_mean,65542.25585454702,11
allele_type_std,60378.580436855555,11
core_P1_mean,30035.28287616372,11
core_P1_std,14435.686366677284,11
core_P2_mean,33228.71260023117,11
core_P2_std,13971.76793897152,11
core_P3_mean,36042.66593748331,11
core_P3_std,9974.979154318571,11
core_P4_mean,39033.1868108511,11
core_P4_std,11786.309755504131,11
core_P5_mean,25184.45635741949,11
core_P5_std,12082.440425127745,11
core_P6_mean,21575.950949430466,11
core_P6_std,15307.257437586784,11
core_P7_mean,19383.31874933839,11
core_P7_std,16110.375337004662,11
core_P8_mean,19756.085044324398,11
core_P8_std,15334.354170829058,11
core_P9_mean,20012.563916921616,11
core_P9_std,15093.723872959614,11
LPFR_P1_mean,51506.771028757095,11
LPFR_P1_std,22086.929947197437,11
LPFR_P2_mean,63796.48105663061,11
LPFR_P2_std,21734.95941016078,11
LPFR_P3_mean,75119.10351023078,11
LPFR_P3_std,26167.018237262964,11
RPFR_P1_mean,54324.68574297428,11
RPFR_P1_std,22293.69299787283,11
RPFR_P2_mean,53916.37603217363,11
RPFR_P2_std,25027.556508660316,11
RPFR_P3_mean,61365.4502748847,11
RPFR_P3_std,30879.76146543026,11
cluster_mean,728104.4206573367,11
cluster_std,72601.87761723995,11
peptide_nunique,84890.40860125422,11
unique_rate,135006.46552202106,11
p1,19594.872661978006,11
p2,19614.101503670216,11
p3,24006.940440177917,11
p4,23126.54899302125,11
p5,21505.56657704711,11
p6,19975.610370516777,11
p7,18904.899860411882,11
p8,20265.014273136854,11
p9,17965.89391195774,11
blosum_sum,70956.26757231355,11
hla,345983.813157022,11
allele_type,46.800410747528076,11
length,173090.62029910088,11
n_label,20450.329486131668,11
len_LPFR,38.645020484924316,11
len_RPFR,8879.516200304031,11
len_peptide_transform,3040.3637511730194,11
core_P1,12162.562240242958,11
core_P2,11086.044904351234,11
core_P3,11685.54673242569,11
core_P4,10968.187613844872,11
core_P5,10157.046016216278,11
core_P6,13078.406112968922,11
core_P7,9475.341378867626,11
core_P8,10006.195883870125,11
core_P9,10290.544593393803,11
LPFR_P1,16903.925336658955,11
LPFR_P2,19219.77799117565,11
LPFR_P3,18859.230757832527,11
RPFR_P1,20030.868650078773,11
RPFR_P2,18738.595150351524,11
RPFR_P3,23636.727978289127,11
core_atfidf,146108.88548260927,11
core_ctfidf,17503.860408127308,11
core_dtfidf,139800.95679330826,11
core_etfidf,74945.16935527325,11
core_ftfidf,83077.91288721561,11
core_gtfidf,91740.85278230906,11
core_htfidf,27216.391476631165,11
core_itfidf,64670.35124593973,11
core_ktfidf,74873.84337431192,11
core_ltfidf,162615.6767143607,11
core_mtfidf,38488.745244026184,11
core_ntfidf,57420.42836403847,11
core_ptfidf,52453.51904255152,11
core_qtfidf,32921.45692080259,11
core_rtfidf,64579.66925084591,11
core_stfidf,51034.27488476038,11
core_ttfidf,60549.435937941074,11
core_vtfidf,51776.30729448795,11
core_wtfidf,34578.18883496523,11
core_ytfidf,37780.278947651386,11
core_a_count,2220.427358150482,11
core_c_count,0.0,11
core_d_count,1260.705680847168,11
core_e_count,6845.700543642044,11
core_f_count,913.8503093719482,11
core_g_count,1069.3883872032166,11
core_h_count,525.5583367347717,11
core_i_count,1897.930127620697,11
core_k_count,2270.7979794740677,11
core_l_count,991.3615608215332,11
core_m_count,451.3050775527954,11
core_n_count,316.0462980270386,11
core_p_count,3368.047835290432,11
core_q_count,746.2397508621216,11
core_r_count,417.7632668018341,11
core_s_count,339.3044934272766,11
core_t_count,518.1228843927383,11
core_v_count,161.93180084228516,11
core_w_count,6.737569808959961,11
core_y_count,96.81646120548248,11
cluster,36963.15386092663,11
hla_mean,790019.7253553867,11
hla_std,260385.08724468946,11
allele_type_mean,94653.33729660511,11
